Start Date (UTC),Duration (s)
29-Mar-2025 03:34:18,20
30-Mar-2025 16:45:31,19
15-Apr-2025 02:26:48,18
16-Apr-2025 15:38:02,13
02-May-2025 01:19:17,15
07-Jun-2025 12:17:09,5
22-Jun-2025 21:58:26,2
24-Jun-2025 11:09:35,16
09-Jul-2025 20:50:52,15
11-Jul-2025 10:02:03,20
26-Jul-2025 19:43:20,19
28-Jul-2025 08:54:32,20
12-Aug-2025 18:35:49,21
14-Aug-2025 07:47:02,19
29-Aug-2025 17:28:18,20
31-Aug-2025 06:39:32,16
15-Sep-2025 16:20:48,16
17-Sep-2025 05:32:04,3
02-Oct-2025 15:13:20,6
08-Nov-2025 02:11:07,14
23-Nov-2025 11:52:23,14
25-Nov-2025 01:03:35,19
10-Dec-2025 10:44:51,19
11-Dec-2025 23:56:03,21
27-Dec-2025 09:37:20,20
28-Dec-2025 22:48:33,20
13-Jan-2026 08:29:49,19
14-Jan-2026 21:41:03,16
30-Jan-2026 07:22:19,17
31-Jan-2026 20:33:34,8
16-Feb-2026 06:14:50,9
24-Mar-2026 17:12:38,12
